,P,AL,C,NI,WH,L,PP,PF,SF,TA,ZN,RB,AU,RM,OI,CS,WR,SP,CU,LR,CF,RR,FB,I,A,SS,RU,JD,M,JM,BC,J,LH,Y,MA,CJ,PG,FU,HC,BU,EG,FG,RS,SM,ZC,AP,SR,V,SA,SN,UR,BB,NR,B,LU,PK,AG,PB,EB,JR,SI,RI,CY,SC
2010-03-19,6803.911321312444,16766.99659462109,1890.0314630309385,,,11357.977312719959,,,,8283.406149609913,18839.142942104958,4746.227695234725,248.68443429651208,,,,4460.0,,60408.705080851105,,16998.188946989263,,,,3815.0,,24117.9435483871,,2879.5287958115186,,,,,7604.003150433185,,,,4647.954975804755,,,,,,,,,5138.934640522876,7697.318295739348,,,,,,3949.1219988288112,,,,,,,,,,
2010-03-22,6822.044339343777,16594.24272920698,1892.0262191924487,,,11357.977312719959,,,,8265.79853143644,18416.123022256128,4755.051502145923,244.96765609007164,,,,4500.0,,59620.02755624571,,17326.278991002844,,,,3819.0,,23896.16935483871,,2867.340314136126,,,,,7611.990548700446,,,,4625.4727540500735,,,,,,,,,5184.333333333334,7711.970551378446,,,,,,3949.1219988288112,,,,,,,,,,
2010-03-23,6842.192137156369,16535.01283249357,1891.0288411116937,,,11357.977312719959,,,,8222.75768701239,18366.934659483006,4725.638812441927,244.54801984095738,,,,4498.0,,59580.09451702519,,17274.201206238784,,,,3825.0,,23553.427419354837,,2864.2931937172775,,,,,7633.9558939354165,,,,4629.382705659584,,,,,,,,,5054.058823529412,7692.434210526316,,,,,,3949.1219988288112,,,,,,,,,,
2010-03-24,6818.014779781259,16456.039636875692,1883.0498164656528,,,11264.838957544438,,,,8261.885727397888,18229.207243718272,4761.914463076855,243.76869537831664,,,,4500.0,,59250.646943455846,,17295.032320144408,,,,3803.0,,23664.31451612903,,2850.0732984293195,,,,,7619.977946967708,,,,4633.292657269093,,,,,,,,,4993.856209150327,7628.941102756892,,,,,,3949.1219988288112,,,,,,,,,,
2010-03-25,6838.162577593851,16307.964895092166,1890.0314630309385,,,11289.34905101168,,,,8271.667737494263,18243.963752550208,4774.659961948587,241.75044484686245,,,,4529.0,,59310.546502286634,,17227.331199951128,,,,3813.0,,24501.00806451613,,2856.167539267016,,,,,7641.943292202678,,,,4613.742899221545,,,,,,,,,5055.0457516339875,7648.477443609022,,,,,,3908.721773776854,,,,,,,,,,
2010-03-26,6805.926101093703,16480.71876050628,1893.023597273204,,,11357.977312719959,,,,8377.313446535109,18470.23022130656,4776.620807928853,243.45896386111326,,,,4540.0,,60238.98966416387,,17133.59118737582,,,,3807.0,,24606.854838709678,,2848.041884816754,,,,,7600.009451299554,,,,4643.067536292868,,,,,,,,,5118.2091503267975,7692.434210526316,,,,,,3923.8718581713383,,,,,,,,,,
2010-03-29,6824.059119125036,16554.75613139804,1902.0,,,11357.977312719959,,,,8518.547599328887,18799.79225188646,4782.503345869653,245.98677269506337,,,,4560.0,,61972.91591752441,,17091.92895956457,,,,3825.0,,24768.145161290322,,2868.3560209424086,,,,,7602.006300866369,,,,4652.8424153166425,,,,,,,,,5110.313725490197,7731.506892230576,,,,,,3958.212049465502,,,,,,,,,,
2010-03-30,6848.236476500148,16589.30690448086,1896.0157315154693,,,11299.153088398578,,,,8483.722739735902,18794.90792030634,4751.12981018539,246.1166601055035,,,,4564.0,,62052.63666480536,,17154.422301281444,,,,3835.0,,24732.862903225807,,2864.2931937172775,,,,,7679.883433972172,,,,4657.72985482853,,,,,,,,,5087.614379084967,7687.5501253132825,,,,,,3958.212049465502,,,,,,,,,,
2010-03-31,6809.955660656222,16485.654585232394,1889.0340849501833,,,11294.25106970513,,,,8477.918596470403,18677.68396238343,4725.638812441927,244.7878119833084,,,,4500.0,,61434.80087337804,,16862.786706602707,,,,3830.0,,24359.879032258064,,2863.277486910995,,,,,7675.88973483854,,,,4637.202608878603,,,,,,,,,5092.549019607844,7609.4047619047615,,,,,,3948.1119932025126,,,,,,,,,,
2010-04-01,6799.881761749925,16623.857677563687,1886.0419507079182,,,11294.25106970513,,,,8509.044502285806,19127.04246775458,4717.7954285208625,245.65705849933076,,,,4508.0,,62401.41493415949,,16998.188946989263,,,,3815.0,,24480.84677419355,,2840.931937172775,,,,,7657.918088737201,,,,4655.774879023775,,,,,,,,,4999.777777777778,7609.4047619047615,,,,,,3962.2520719706977,,,,,,,,,,
